"File Name","Label"
"2021-05-07-12-57-44-Messung_4_(F)_0.csv","SitOnEdge"
"2021-05-07-12-57-44-Messung_4_(F)_1.csv","SitOnEdge"
"2021-05-07-12-57-44-Messung_4_(F)_2.csv","SitOnEdge"
"2021-05-07-12-57-44-Messung_4_(F)_3.csv","SitOnEdge"
"2021-05-07-12-57-44-Messung_4_(F)_4.csv","SitOnEdge"
"2021-05-07-12-57-44-Messung_4_(F)_5.csv","SitOnEdge"
"2021-05-07-12-57-44-Messung_4_(F)_6.csv","SitOnEdge"
"2021-05-07-12-57-44-Messung_4_(F)_7.csv","SitOnEdge"
"2021-05-07-12-57-44-Messung_4_(F)_8.csv","SitOnEdge"
"2021-05-07-12-57-44-Messung_4_(F)_9.csv","SitOnEdge"
"2021-05-07-12-57-44-Messung_4_(F)_10.csv","SitOnEdge"
"2021-05-07-12-57-44-Messung_4_(F)_11.csv","SitOnEdge"
"2021-05-07-12-57-44-Messung_4_(F)_12.csv","SitOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_13.csv","SitOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_14.csv","SittingOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_15.csv","SittingOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_16.csv","SittingOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_17.csv","SittingOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_18.csv","SittingOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_19.csv","SittingOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_20.csv","SittingOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_21.csv","SittingOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_22.csv","SittingOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_23.csv","SittingOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_24.csv","SittingOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_25.csv","SittingOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_26.csv","SittingOnEdge"
"2021-05-07-12-57-45-Messung_4_(F)_27.csv","SittingOnEdge"
