"File Name","Label"
"2021-05-07-12-52-27-Messung_3_(W)_0.csv","NoPerson"
"2021-05-07-12-52-27-Messung_3_(W)_1.csv","NoPerson"
"2021-05-07-12-52-27-Messung_3_(W)_2.csv","NoPerson"
"2021-05-07-12-52-27-Messung_3_(W)_3.csv","NoPerson"
"2021-05-07-12-52-27-Messung_3_(W)_4.csv","NoPerson"
"2021-05-07-12-52-27-Messung_3_(W)_5.csv","SitOnEdge"
"2021-05-07-12-52-27-Messung_3_(W)_6.csv","SitOnEdge"
"2021-05-07-12-52-27-Messung_3_(W)_7.csv","SitOnEdge"
"2021-05-07-12-52-27-Messung_3_(W)_8.csv","SitOnEdge"
"2021-05-07-12-52-27-Messung_3_(W)_9.csv","SitOnEdge"
"2021-05-07-12-52-27-Messung_3_(W)_10.csv","SitOnEdge"
"2021-05-07-12-52-27-Messung_3_(W)_11.csv","SitOnEdge"
"2021-05-07-12-52-27-Messung_3_(W)_12.csv","SittingOnEdge"
"2021-05-07-12-52-27-Messung_3_(W)_13.csv","SittingOnEdge"
"2021-05-07-12-52-27-Messung_3_(W)_14.csv","SittingOnEdge"
"2021-05-07-12-52-27-Messung_3_(W)_15.csv","SittingOnEdge"
"2021-05-07-12-52-27-Messung_3_(W)_16.csv","SittingOnEdge"
"2021-05-07-12-52-28-Messung_3_(W)_17.csv","SittingOnEdge"
"2021-05-07-12-52-28-Messung_3_(W)_18.csv","SittingOnEdge"
"2021-05-07-12-52-28-Messung_3_(W)_19.csv","SittingOnEdge"
"2021-05-07-12-52-28-Messung_3_(W)_20.csv","SittingOnEdge"
"2021-05-07-12-52-28-Messung_3_(W)_21.csv","SittingOnEdge"
"2021-05-07-12-52-28-Messung_3_(W)_22.csv","SittingOnEdge"
"2021-05-07-12-52-28-Messung_3_(W)_23.csv","SittingOnEdge"
"2021-05-07-12-52-28-Messung_3_(W)_24.csv","SittingOnEdge"
"2021-05-07-12-52-28-Messung_3_(W)_25.csv","SittingOnEdge"
"2021-05-07-12-52-28-Messung_3_(W)_26.csv","SittingOnEdge"
"2021-05-07-12-52-28-Messung_3_(W)_27.csv","SittingOnEdge"
"2021-05-07-12-52-28-Messung_3_(W)_28.csv","SittingOnEdge"
"2021-05-07-12-52-28-Messung_3_(W)_29.csv","StandingFromBed"
"2021-05-07-12-52-28-Messung_3_(W)_30.csv","StandingFromBed"
"2021-05-07-12-52-28-Messung_3_(W)_31.csv","StandingFromBed"
"2021-05-07-12-52-28-Messung_3_(W)_32.csv","StandingFromBed"
"2021-05-07-12-52-28-Messung_3_(W)_33.csv","StandingFromBed"
"2021-05-07-12-52-28-Messung_3_(W)_34.csv","StandingFromBed"
"2021-05-07-12-52-29-Messung_3_(W)_35.csv","StandingFromBed"
"2021-05-07-12-52-29-Messung_3_(W)_36.csv","StandingFromBed"
"2021-05-07-12-52-29-Messung_3_(W)_37.csv","SitOnEdge"
"2021-05-07-12-52-29-Messung_3_(W)_38.csv","SitOnEdge"
"2021-05-07-12-52-29-Messung_3_(W)_39.csv","SitOnEdge"
"2021-05-07-12-52-29-Messung_3_(W)_40.csv","SitOnEdge"
"2021-05-07-12-52-29-Messung_3_(W)_41.csv","SitOnEdge"
"2021-05-07-12-52-29-Messung_3_(W)_42.csv","SitOnEdge"
"2021-05-07-12-52-29-Messung_3_(W)_43.csv","SitOnEdge"
"2021-05-07-12-52-29-Messung_3_(W)_44.csv","SitOnEdge"
"2021-05-07-12-52-29-Messung_3_(W)_45.csv","SitOnEdge"
"2021-05-07-12-52-29-Messung_3_(W)_46.csv","SitOnEdge"
"2021-05-07-12-52-29-Messung_3_(W)_47.csv","SitOnEdge"
"2021-05-07-12-52-29-Messung_3_(W)_48.csv","SitOnEdge"
"2021-05-07-12-52-29-Messung_3_(W)_49.csv","SitOnEdge"
"2021-05-07-12-52-29-Messung_3_(W)_50.csv","SitOnEdge"
"2021-05-07-12-52-29-Messung_3_(W)_51.csv","SitOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_52.csv","SitOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_53.csv","SitOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_54.csv","SitOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_55.csv","SitOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_56.csv","SitOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_57.csv","SitOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_58.csv","SitOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_59.csv","SitOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_60.csv","SitOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_61.csv","SittingOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_62.csv","SittingOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_63.csv","SittingOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_64.csv","SittingOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_65.csv","SittingOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_66.csv","SittingOnEdge"
"2021-05-07-12-52-30-Messung_3_(W)_67.csv","LyingOnBed"
"2021-05-07-12-52-30-Messung_3_(W)_68.csv","LyingOnBed"
"2021-05-07-12-52-30-Messung_3_(W)_69.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_70.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_71.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_72.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_73.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_74.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_75.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_76.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_77.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_78.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_79.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_80.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_81.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_82.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_83.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_84.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_85.csv","LyingOnBed"
"2021-05-07-12-52-31-Messung_3_(W)_86.csv","LyingOnBed"
